dispatching_base_number,date,active_vehicles,trips,day,month,year,weekday,week,trips_per_vehicle
B02512,2015-01-21,242,1519,21,1,2015,2,4,6.276859504132231
B02682,2015-01-21,1228,9472,21,1,2015,2,4,7.713355048859935
B02598,2015-01-21,1035,8041,21,1,2015,2,4,7.769082125603865
B02765,2015-01-21,296,1774,21,1,2015,2,4,5.993243243243243
B02617,2015-01-21,1429,10997,21,1,2015,2,4,7.695591322603219
B02617,2015-01-22,1471,12143,22,1,2015,3,4,8.254928619986403
B02764,2015-01-22,3889,30091,22,1,2015,3,4,7.737464643867318
B02512,2015-01-22,246,1551,22,1,2015,3,4,6.304878048780488
B02598,2015-01-22,1071,9080,22,1,2015,3,4,8.478057889822596
B02682,2015-01-22,1295,10699,22,1,2015,3,4,8.261776061776061
B02765,2015-01-22,295,2038,22,1,2015,3,4,6.908474576271186
B02598,2015-01-23,1093,9343,23,1,2015,4,4,8.548032936870998
B02512,2015-01-23,246,1670,23,1,2015,4,4,6.788617886178862
B02765,2015-01-23,299,2162,23,1,2015,4,4,7.230769230769231
B02764,2015-01-23,4040,33756,23,1,2015,4,4,8.355445544554456
B02617,2015-01-23,1482,13121,23,1,2015,4,4,8.85357624831309
B02682,2015-01-23,1330,11767,23,1,2015,4,4,8.847368421052632
B02598,2015-01-24,945,10040,24,1,2015,5,4,10.624338624338625
B02764,2015-01-24,3652,39187,24,1,2015,5,4,10.730284775465499
B02512,2015-01-24,211,1608,24,1,2015,5,4,7.62085308056872
B02617,2015-01-24,1367,14143,24,1,2015,5,4,10.346013167520118
B02682,2015-01-24,1223,13355,24,1,2015,5,4,10.919869174161898
B02765,2015-01-24,245,2376,24,1,2015,5,4,9.69795918367347
B02512,2015-01-25,183,1190,25,1,2015,6,4,6.502732240437158
B02764,2015-01-25,3300,28066,25,1,2015,6,4,8.504848484848484
B02765,2015-01-25,226,1755,25,1,2015,6,4,7.765486725663717
B02598,2015-01-25,829,7219,25,1,2015,6,4,8.708082026537998
B02682,2015-01-25,1046,9303,25,1,2015,6,4,8.893881453154876
B02617,2015-01-25,1203,10362,25,1,2015,6,4,8.613466334164588
B02617,2015-01-26,1150,7608,26,1,2015,0,5,6.615652173913044
B02598,2015-01-26,860,5919,26,1,2015,0,5,6.882558139534884
B02765,2015-01-26,230,1363,26,1,2015,0,5,5.926086956521739
B02764,2015-01-26,3012,19940,26,1,2015,0,5,6.620185922974768
B02682,2015-01-26,1084,7565,26,1,2015,0,5,6.978782287822878
B02512,2015-01-26,197,1000,26,1,2015,0,5,5.0761421319796955
